,Subject,Trial,Angle,Matching,Response,Time,Correct,Age,Sex,NewColumn,TimeSecs
165,40,71,100,1,b,2465,1,21,F,800,2.465
166,40,74,100,0,n,3259,1,21,F,800,3.259
167,40,75,150,1,b,3634,1,21,F,800,3.634
168,40,76,0,0,n,2987,1,21,F,800,2.987
169,40,77,0,1,b,2618,1,21,F,800,2.618
170,40,78,50,1,n,3796,0,21,F,800,3.796
171,40,79,50,0,n,3749,1,21,F,800,3.749
172,40,80,150,0,n,3219,1,21,F,800,3.219
173,40,81,50,0,n,3735,1,21,F,800,3.735
174,40,82,0,1,b,1034,1,21,F,800,1.034
175,40,83,150,0,n,5456,1,21,F,800,5.456
176,40,84,50,1,b,5269,1,21,F,800,5.269
177,40,85,100,1,b,2335,1,21,F,800,2.335
178,40,86,0,0,n,2038,1,21,F,800,2.038
179,40,87,150,1,n,3111,0,21,F,800,3.111
180,40,88,100,0,n,1800,1,21,F,800,1.8
181,40,89,100,0,n,2281,1,21,F,800,2.281
182,40,90,50,1,b,1685,1,21,F,800,1.685
183,40,91,0,1,b,989,1,21,F,800,0.989
184,40,92,150,1,n,6498,0,21,F,800,6.498
185,40,93,150,0,n,3983,1,21,F,800,3.983
186,40,94,50,0,n,4361,1,21,F,800,4.361
187,40,95,100,1,b,1650,1,21,F,800,1.65
188,40,96,0,0,n,1970,1,21,F,800,1.97
189,24,1,0,0,n,2443,1,25,F,480,2.443
190,24,2,150,0,n,5888,1,25,F,480,5.888
191,24,3,150,1,b,3670,1,25,F,480,3.67
192,24,4,100,1,n,4012,0,25,F,480,4.012
193,24,5,50,1,b,2902,1,25,F,480,2.902
194,24,6,50,0,n,3120,1,25,F,480,3.12
195,24,7,100,0,n,5431,1,25,F,480,5.431
196,24,8,0,1,b,1226,1,25,F,480,1.226
197,24,9,150,0,n,5480,1,25,F,480,5.48
198,24,10,150,1,b,4745,1,25,F,480,4.745
199,24,11,50,0,n,4690,1,25,F,480,4.69
200,24,12,0,0,n,2772,1,25,F,480,2.772
201,24,13,0,1,b,1265,1,25,F,480,1.265
202,24,14,100,0,n,2392,1,25,F,480,2.392
203,24,15,100,1,b,4716,1,25,F,480,4.716
204,24,16,50,1,b,3418,1,25,F,480,3.418
205,24,17,100,0,n,2654,1,25,F,480,2.654
206,24,18,150,1,b,2112,1,25,F,480,2.112
207,24,19,50,0,n,2702,1,25,F,480,2.702
208,24,20,50,1,b,1637,1,25,F,480,1.637
209,24,21,100,0,n,2109,1,25,F,480,2.109
210,24,22,0,0,b,884,0,25,F,480,0.884
211,24,23,0,1,b,1795,1,25,F,480,1.795
212,24,24,150,0,n,4023,1,25,F,480,4.023
213,24,25,150,0,n,5980,1,25,F,480,5.98
214,24,26,50,0,n,2026,1,25,F,480,2.026
215,24,27,50,1,b,3076,1,25,F,480,3.076
216,24,28,100,1,b,3157,1,25,F,480,3.157
217,24,29,0,1,b,1617,1,25,F,480,1.617
218,24,30,0,0,n,2367,1,25,F,480,2.367
219,24,33,50,1,n,2687,0,25,F,480,2.687
220,24,34,100,1,b,4855,1,25,F,480,4.855
221,24,35,150,1,n,2719,0,25,F,480,2.719
222,24,36,0,0,n,1253,1,25,F,480,1.253
223,24,37,100,1,b,2855,1,25,F,480,2.855
224,24,38,150,0,n,4301,1,25,F,480,4.301
225,24,39,0,1,b,1565,1,25,F,480,1.565
226,24,40,50,0,n,1128,1,25,F,480,1.128
227,24,41,150,1,b,4087,1,25,F,480,4.087
228,24,42,0,0,n,1191,1,25,F,480,1.191
229,24,43,100,1,b,2115,1,25,F,480,2.115
230,24,44,150,0,b,2101,0,25,F,480,2.101
231,24,45,50,0,n,1218,1,25,F,480,1.218
232,24,46,100,0,b,1599,0,25,F,480,1.599
233,24,47,0,1,b,1632,1,25,F,480,1.632
234,24,48,50,1,b,2747,1,25,F,480,2.747
235,24,49,100,0,n,2427,1,25,F,480,2.427
236,24,50,150,0,n,2595,1,25,F,480,2.595
237,24,51,0,1,b,2486,1,25,F,480,2.486
238,24,52,0,0,n,2602,1,25,F,480,2.602
239,24,53,100,1,b,3139,1,25,F,480,3.139
240,24,54,50,0,n,1513,1,25,F,480,1.513
241,24,55,150,1,b,4106,1,25,F,480,4.106
242,24,56,50,1,b,1815,1,25,F,480,1.815
243,24,57,150,0,n,2761,1,25,F,480,2.761
244,24,58,100,0,n,2637,1,25,F,480,2.637
245,24,59,150,1,b,1784,1,25,F,480,1.784
246,24,60,100,1,b,2227,1,25,F,480,2.227
247,24,61,0,1,b,1338,1,25,F,480,1.338
248,24,62,0,0,n,1145,1,25,F,480,1.145
249,24,63,50,0,n,1854,1,25,F,480,1.854
250,24,64,50,1,b,1862,1,25,F,480,1.862
251,24,65,150,0,b,2316,0,25,F,480,2.316
252,24,66,0,1,b,1268,1,25,F,480,1.268
253,24,67,150,1,b,2322,1,25,F,480,2.322
254,24,68,0,0,n,1377,1,25,F,480,1.377
255,24,69,50,0,n,1748,1,25,F,480,1.748
256,24,70,50,1,b,1542,1,25,F,480,1.542
257,24,71,100,1,b,1460,1,25,F,480,1.46
258,24,72,100,0,n,2511,1,25,F,480,2.511
259,24,73,100,1,b,1409,1,25,F,480,1.409
260,24,74,100,0,n,2863,1,25,F,480,2.863
261,24,75,150,1,b,2104,1,25,F,480,2.104
262,24,76,0,0,n,2637,1,25,F,480,2.637
263,24,77,0,1,b,1727,1,25,F,480,1.727
264,24,78,50,1,n,1292,0,25,F,480,1.292
265,24,79,50,0,n,1260,1,25,F,480,1.26
266,24,80,150,0,b,1411,0,25,F,480,1.411
267,24,81,50,0,b,2582,0,25,F,480,2.582
268,24,82,0,1,b,1033,1,25,F,480,1.033
269,24,83,150,0,n,3028,1,25,F,480,3.028
270,24,84,50,1,n,2307,0,25,F,480,2.307
271,24,85,100,1,b,2191,1,25,F,480,2.191
272,24,86,0,0,n,2083,1,25,F,480,2.083
273,24,87,150,1,b,2745,1,25,F,480,2.745
274,24,88,100,0,n,2784,1,25,F,480,2.784
275,24,89,100,0,n,1781,1,25,F,480,1.781
276,24,90,50,1,b,1850,1,25,F,480,1.85
277,24,91,0,1,b,1140,1,25,F,480,1.14
278,24,92,150,1,b,1949,1,25,F,480,1.949
279,24,93,150,0,n,2432,1,25,F,480,2.432
280,24,94,50,0,n,1777,1,25,F,480,1.777
281,24,95,100,1,b,1287,1,25,F,480,1.287
282,24,96,0,0,n,3197,1,25,F,480,3.197
283,11,1,0,0,n,2924,1,21,M,220,2.924
284,11,2,150,0,n,3631,1,21,M,220,3.631
